Bacteria,Cast system,Target,CFU
BT,pKSh5,2516,3719.40787
BT,pKSh5,2517,6699.147381
BT,pKSh5,2522,3716.995642
BT,pKSh5,2523,95529.78925
BT,pKSh5,2524,5050.505051
BT,pKSh5,2300.1,10499.01186
BT,pKSh5,2516,2082.868407
BT,pKSh5,2517,8424.685343
BT,pKSh5,2522,1281.722635
BT,pKSh5,2523,7231.580738
BT,pKSh5,2524,757.5757576
BT,pKSh5,2300.1,988.1422925
BT,pKSh5,2523,7438.197331
BT,pKSh5,2524,5627.705628
BT,pKSh5,2300.1,5505.364201
PP,pBLlSh2,2541,13607.77587
PP,pBLlSh2,2543,534.4735436
PP,pBLlSh2,2544,13774.10468
PP,pBLlSh2,2545,13711.15174
PP,pBLlSh2,2546,301.9779556
PP,pBLlSh2,2300.2,4133.451432
PP,pBLlSh2,2544,90061.4537
PP,pBLlSh2,2545,21138.02559
PP,pBLlSh2,2546,14494.94187
PP,pBLlSh2,2300.2,17714.79185
PP,pBLlSh2,2541,182675.8148
PP,pBLlSh2,2542,106711.4094
PP,pBLlSh2,2543,18324.80721
PP,pBLlSh2,2544,32845.94194
PP,pBLlSh2,2545,27422.30347
PP,pBLlSh2,2546,100860.6372
PP,pBLlSh2,2300.2,79362.26749
BT,pKSh5,2621,2821.236214
BT,pKSh5,2621,1735.487732
BT,pKSh5,2621,430.8797127
BT,pKSh5,2622,2805.635148
BT,pKSh5,2622,1492.359121
BT,pKSh5,2622,477.5549188
PP,pBLlSh2,2541,7632.933105
PP,pBLlSh2,2542,2516.778523
PP,pBLlSh2,2542,2936.241611
PP,pBLlSh2,2543,1737.039017
BT,pKSh5,2516,4016.9605
BT,pKSh5,2516,725.2845347
BT,pKSh5,2517,5024.360536
BT,pKSh5,2517,1979.293544
PP,pBLlSh2,2542.2,10404.62428
BT,pKSh5,2516.2,0
BT,pKSh5,2517.2,596.1844197
BT,pKSh5,2523.2,3123.55391
BT,pKSh5,2524.2,121.6249088
BT,pKSh5,2621.2,65.72029443
BT,pKSh5,2622.2,114.8633127
BT,pKSh5,2300.4,56.15453729
AF,pKSh2,2300.3,1572.809064
AF,pBCLl,2300.3,266.5778074
AF,pFN,2300.3,15141.61946
AF,pBCy,2300.3,20153.28224
AF,pFCi,2300.3,2505.83139
BT,pKSh2,2516.2,0
BT,pKSh2,2517.2,3510.863805
BT,pKSh2,2523.2,16196.20546
BT,pKSh2,2524.2,60.81245439
BT,pKSh2,2621.2,722.9232387
BT,pKSh2,2300.4,280.7726864
BT,pKSh2,2516.2,0
BT,pKSh2,2517.2,596.1844197
BT,pKSh2,2523.2,2834.335956
BT,pKSh2,2524.2,121.6249088
BT,pKSh2,2621.2,131.4405889
BT,pKSh2,2622.2,114.8633127
BT,pKSh2,2300.4,112.3090746
AF,pKSh2,2513.3,0
AF,pKSh2,2514.3,16307.69231
AF,pKSh2,2300.4,0
AF,pFR2,2513.3,0
AF,pFR2,2514.3,0
AF,pFR2,2300.4,0
AF,pBLlSh2,2513.3,129.8026999
AF,pBLlSh2,2514.3,12923.07692
AF,pBLlSh2,2300.4,1707.097934
AF,pKSh2,2506.3,1993.355482
AF,pKSh2,2506.3,1162.790698
AF,pBLlSh2,2506.3,332.2259136
AF,pKSh2,2507.3,632.1112516
AF,pKSh2,2507.3,126.4222503
AF,pBLlSh2,2507.3,189.6333755
AF,pKSh2,2508.3,1762.068876
AF,pKSh2,2508.3,1399.28999
AF,pBLlSh2,2508.3,0
AF,pKSh2,2509.3,309.8853424
AF,pKSh2,2509.3,247.9082739
AF,pBLlSh2,2509.3,123.954137
AF,pKSh2,2510.3,4041.610214
AF,pKSh2,2510.3,4115.094036
AF,pKSh2,2511.3,1434.884922
AF,pKSh2,2511.3,1607.071113
AF,pKSh2,2512.3,2483.335512
AF,pKSh2,2512.3,2744.73925
AF,pKSh2,2513.3,222.5189141
AF,pKSh2,2513.3,259.6053998
AF,pKSh2,2514.3,10512.82051
AF,pKSh2,2514.3,9670.32967
AF,pKSh2,2515.3,2092.050209
AF,pKSh2,2515.3,2590.157402
AF,pKSh2,2300.3,15661.44618
AF,pKSh2,2300.3,21992.66911
AF,pBLlSh2,2300.3,10440.96412
BT,pKSh5,2524,84.17508418
